lead_id,created_at,first_response_at,response_minutes,source,campaign,region,owner,status,converted,revenue_usd
LEAD_000001,2026-01-02 17:11:41,2026-01-02 17:59:41,48,event,paid_search,ATL,sam,nurture,0,0
LEAD_000002,2026-03-12 20:34:35,2026-03-12 21:26:35,52,instagram_dm,organic,ATL,alex,open,0,0
LEAD_000003,2026-02-14 14:39:42,2026-02-14 15:07:42,28,referral,newsletter,ATL,alex,nurture,0,0
LEAD_000004,2026-01-29 14:39:20,2026-01-29 15:08:20,29,website_form,spring_promo,Alpharetta,alex,open,0,0
LEAD_000005,2025-12-07 11:51:10,2025-12-07 12:42:10,51,website_form,organic,ATL,sam,nurture,0,0
LEAD_000006,2025-12-07 11:47:00,2025-12-07 12:19:00,32,referral,newsletter,Alpharetta,jordan,converted,1,1813
LEAD_000007,2025-11-25 17:48:00,2025-11-25 18:12:00,24,website_form,spring_promo,Alpharetta,alex,lost,0,0
LEAD_000008,2026-03-02 17:06:23,2026-03-02 17:23:23,17,referral,paid_search,Cumming,alex,lost,0,0
LEAD_000009,2026-01-29 21:43:50,2026-01-29 22:27:50,44,website_form,newsletter,Remote,alex,open,0,0
LEAD_000010,2026-02-11 17:46:06,2026-02-11 18:05:06,19,instagram_dm,newsletter,ATL,jordan,nurture,0,0
LEAD_000011,2025-11-21 05:48:09,2025-11-21 06:48:09,60,email,organic,Alpharetta,jordan,nurture,0,0
LEAD_000012,2026-03-15 03:51:35,2026-03-15 04:55:35,64,instagram_dm,organic,Remote,jordan,lost,0,0
LEAD_000013,2026-02-26 15:57:14,2026-02-26 16:45:14,48,instagram_dm,newsletter,Remote,sam,nurture,0,0
LEAD_000014,2025-12-14 06:03:21,2025-12-14 06:58:21,55,website_form,organic,ATL,sam,converted,1,2534
LEAD_000015,2025-12-10 14:10:30,2025-12-10 14:58:30,48,website_form,newsletter,ATL,alex,open,0,0
LEAD_000016,2025-12-10 18:43:27,2025-12-10 19:41:27,58,website_form,organic,ATL,alex,nurture,0,0
LEAD_000017,2025-12-25 06:44:13,2025-12-25 07:40:13,56,email,spring_promo,Alpharetta,taylor,nurture,0,0
LEAD_000018,2026-01-20 17:49:04,2026-01-20 18:32:04,43,email,spring_promo,Alpharetta,taylor,nurture,0,0
LEAD_000019,2026-01-09 14:31:15,2026-01-09 15:40:15,69,instagram_dm,spring_promo,ATL,jordan,lost,0,0
LEAD_000020,2025-12-23 17:15:33,2025-12-23 17:44:33,29,email,organic,Cumming,taylor,converted,1,3999
LEAD_000021,2026-01-31 04:39:20,2026-01-31 04:56:20,17,email,newsletter,Alpharetta,jordan,open,0,0
LEAD_000022,2025-12-05 12:15:42,2025-12-05 12:31:42,16,email,paid_search,Cumming,alex,converted,1,5060
LEAD_000023,2025-12-23 19:53:45,2025-12-23 20:18:45,25,website_form,spring_promo,Remote,taylor,lost,0,0
LEAD_000024,2026-01-01 17:38:29,2026-01-01 17:42:29,4,website_form,partner,Alpharetta,alex,open,0,0
LEAD_000025,2026-01-12 12:00:03,2026-01-12 12:39:03,39,event,organic,ATL,jordan,converted,1,1886
LEAD_000026,2026-02-20 23:49:34,2026-02-21 00:42:34,53,referral,partner,Alpharetta,sam,converted,1,1127
LEAD_000027,2025-12-12 17:34:47,2025-12-12 18:37:47,63,website_form,newsletter,ATL,sam,lost,0,0
