lead_id,created_at,first_response_at,response_minutes,source,campaign,region,owner,status,converted,revenue_usd
LEAD_000001,2026-01-02 17:49:54,2026-01-02 18:37:54,48,event,paid_search,ATL,sam,nurture,0,0
LEAD_000002,2026-03-12 21:12:48,2026-03-12 22:04:48,52,instagram_dm,organic,ATL,alex,open,0,0
LEAD_000003,2026-02-14 15:17:56,2026-02-14 15:45:56,28,referral,newsletter,ATL,alex,nurture,0,0
LEAD_000004,2026-01-29 15:17:33,2026-01-29 15:46:33,29,website_form,spring_promo,Alpharetta,alex,open,0,0
LEAD_000005,2025-12-07 12:29:24,2025-12-07 13:20:24,51,website_form,organic,ATL,sam,nurture,0,0
LEAD_000006,2025-12-07 12:25:14,2025-12-07 12:57:14,32,referral,newsletter,Alpharetta,jordan,converted,1,1813
LEAD_000007,2025-11-25 18:26:13,2025-11-25 18:50:13,24,website_form,spring_promo,Alpharetta,alex,lost,0,0
LEAD_000008,2026-03-02 17:44:37,2026-03-02 18:01:37,17,referral,paid_search,Cumming,alex,lost,0,0
LEAD_000009,2026-01-29 22:22:03,2026-01-29 23:06:03,44,website_form,newsletter,Remote,alex,open,0,0
LEAD_000010,2026-02-11 18:24:19,2026-02-11 18:43:19,19,instagram_dm,newsletter,ATL,jordan,nurture,0,0
LEAD_000011,2025-11-21 06:26:22,2025-11-21 07:26:22,60,email,organic,Alpharetta,jordan,nurture,0,0
LEAD_000012,2026-03-15 04:29:48,2026-03-15 05:33:48,64,instagram_dm,organic,Remote,jordan,lost,0,0
LEAD_000013,2026-02-26 16:35:28,2026-02-26 17:23:28,48,instagram_dm,newsletter,Remote,sam,nurture,0,0
LEAD_000014,2025-12-14 06:41:34,2025-12-14 07:36:34,55,website_form,organic,ATL,sam,converted,1,2534
LEAD_000015,2025-12-10 14:48:44,2025-12-10 15:36:44,48,website_form,newsletter,ATL,alex,open,0,0
LEAD_000016,2025-12-10 19:21:40,2025-12-10 20:19:40,58,website_form,organic,ATL,alex,nurture,0,0
LEAD_000017,2025-12-25 07:22:26,2025-12-25 08:18:26,56,email,spring_promo,Alpharetta,taylor,nurture,0,0
LEAD_000018,2026-01-20 18:27:17,2026-01-20 19:10:17,43,email,spring_promo,Alpharetta,taylor,nurture,0,0
LEAD_000019,2026-01-09 15:09:28,2026-01-09 16:18:28,69,instagram_dm,spring_promo,ATL,jordan,lost,0,0
LEAD_000020,2025-12-23 17:53:46,2025-12-23 18:22:46,29,email,organic,Cumming,taylor,converted,1,3999
LEAD_000021,2026-01-31 05:17:33,2026-01-31 05:34:33,17,email,newsletter,Alpharetta,jordan,open,0,0
LEAD_000022,2025-12-05 12:53:55,2025-12-05 13:09:55,16,email,paid_search,Cumming,alex,converted,1,5060
LEAD_000023,2025-12-23 20:31:58,2025-12-23 20:56:58,25,website_form,spring_promo,Remote,taylor,lost,0,0
LEAD_000024,2026-01-01 18:16:42,2026-01-01 18:20:42,4,website_form,partner,Alpharetta,alex,open,0,0
LEAD_000025,2026-01-12 12:38:16,2026-01-12 13:17:16,39,event,organic,ATL,jordan,converted,1,1886
LEAD_000026,2026-02-21 00:27:47,2026-02-21 01:20:47,53,referral,partner,Alpharetta,sam,converted,1,1127
LEAD_000027,2025-12-12 18:13:00,2025-12-12 19:16:00,63,website_form,newsletter,ATL,sam,lost,0,0
LEAD_000028,2026-01-19 12:09:05,2026-01-19 12:15:05,6,email,newsletter,Cumming,jordan,lost,0,0
LEAD_000029,2026-01-28 21:18:37,2026-01-28 21:35:37,17,referral,spring_promo,Remote,sam,nurture,0,0
LEAD_000030,2025-11-24 08:56:00,2025-11-24 09:55:00,59,email,spring_promo,Remote,sam,converted,1,2634
LEAD_000031,2026-01-30 16:53:07,2026-01-30 17:21:07,28,website_form,spring_promo,Cumming,sam,nurture,0,0
LEAD_000032,2025-12-09 06:15:56,2025-12-09 07:07:56,52,website_form,newsletter,ATL,sam,open,0,0
LEAD_000033,2025-11-26 14:30:17,2025-11-26 14:40:17,10,email,organic,ATL,taylor,converted,1,1163
LEAD_000034,2026-03-12 15:56:48,2026-03-12 17:18:48,82,event,paid_search,Cumming,taylor,open,0,0
LEAD_000035,2026-03-14 16:10:35,2026-03-14 16:19:35,9,instagram_dm,organic,ATL,sam,open,0,0
LEAD_000036,2026-02-23 19:20:26,2026-02-23 19:58:26,38,website_form,paid_search,Cumming,alex,open,0,0
LEAD_000037,2025-12-25 08:26:38,2025-12-25 09:05:38,39,website_form,spring_promo,ATL,taylor,nurture,0,0
LEAD_000038,2025-11-30 12:27:07,2025-11-30 12:49:07,22,referral,spring_promo,ATL,alex,open,0,0
LEAD_000039,2026-02-08 21:44:50,2026-02-08 22:31:50,47,referral,organic,ATL,alex,lost,0,0
LEAD_000040,2026-01-10 14:47:43,2026-01-10 15:35:43,48,instagram_dm,organic,Remote,sam,converted,1,2507
LEAD_000041,2025-12-03 10:37:35,2025-12-03 11:21:35,44,instagram_dm,organic,Alpharetta,taylor,nurture,0,0
LEAD_000042,2026-01-17 05:15:57,2026-01-17 05:36:57,21,website_form,paid_search,ATL,alex,converted,1,1308
LEAD_000043,2025-11-22 22:11:43,2025-11-22 22:29:43,18,referral,spring_promo,ATL,alex,nurture,0,0
LEAD_000044,2026-03-07 21:59:56,2026-03-07 22:22:56,23,referral,organic,Cumming,sam,nurture,0,0
LEAD_000045,2025-12-19 20:26:33,2025-12-19 20:42:33,16,website_form,paid_search,ATL,sam,converted,1,2883
LEAD_000046,2026-02-06 07:13:13,2026-02-06 08:24:13,71,instagram_dm,spring_promo,Cumming,jordan,open,0,0
LEAD_000047,2025-12-26 04:53:03,2025-12-26 05:18:03,25,website_form,partner,Alpharetta,sam,open,0,0
LEAD_000048,2026-01-20 04:57:08,2026-01-20 05:34:08,37,website_form,partner,Alpharetta,sam,open,0,0
LEAD_000049,2026-01-23 09:40:55,2026-01-23 10:39:55,59,website_form,spring_promo,Alpharetta,alex,lost,0,0
LEAD_000050,2025-12-10 23:32:13,2025-12-10 23:47:13,15,website_form,organic,Cumming,alex,nurture,0,0
LEAD_000051,2026-03-15 03:33:36,2026-03-15 03:42:36,9,website_form,organic,Remote,taylor,open,0,0
LEAD_000052,2026-02-19 19:32:19,2026-02-19 19:48:19,16,email,paid_search,Remote,taylor,lost,0,0
LEAD_000053,2026-03-11 12:54:47,2026-03-11 13:34:47,40,email,newsletter,Cumming,alex,open,0,0
LEAD_000054,2026-03-06 04:15:32,2026-03-06 04:53:32,38,email,newsletter,ATL,alex,nurture,0,0
LEAD_000055,2026-01-29 13:06:29,2026-01-29 13:50:29,44,website_form,paid_search,Cumming,alex,nurture,0,0
LEAD_000056,2026-03-09 10:09:14,2026-03-09 10:39:14,30,website_form,spring_promo,ATL,jordan,nurture,0,0
LEAD_000057,2025-11-29 10:00:53,2025-11-29 10:01:53,1,instagram_dm,paid_search,Alpharetta,jordan,converted,1,1369
LEAD_000058,2025-12-12 07:35:13,2025-12-12 08:04:13,29,email,newsletter,Cumming,sam,lost,0,0
LEAD_000059,2025-11-24 05:24:39,2025-11-24 06:28:39,64,website_form,newsletter,ATL,jordan,lost,0,0
LEAD_000060,2025-12-27 20:06:27,2025-12-27 21:22:27,76,referral,paid_search,ATL,jordan,converted,1,4796
LEAD_000061,2026-01-04 10:32:48,2026-01-04 11:07:48,35,instagram_dm,newsletter,Cumming,taylor,nurture,0,0
LEAD_000062,2025-12-21 08:38:29,2025-12-21 09:16:29,38,referral,spring_promo,Remote,alex,open,0,0
LEAD_000063,2026-02-26 05:55:13,2026-02-26 06:46:13,51,email,organic,Cumming,alex,converted,1,2147
LEAD_000064,2025-12-31 14:36:21,2025-12-31 15:51:21,75,website_form,organic,Alpharetta,alex,lost,0,0
LEAD_000065,2025-12-22 12:14:51,2025-12-22 12:47:51,33,instagram_dm,spring_promo,ATL,taylor,nurture,0,0
LEAD_000066,2026-01-22 22:07:15,2026-01-22 22:58:15,51,website_form,partner,Cumming,taylor,open,0,0
LEAD_000067,2025-12-05 17:01:05,2025-12-05 17:22:05,21,email,spring_promo,Cumming,jordan,nurture,0,0
LEAD_000068,2026-02-23 01:29:01,2026-02-23 01:39:01,10,website_form,newsletter,Alpharetta,alex,converted,1,685
LEAD_000069,2025-11-27 17:51:43,2025-11-27 18:13:43,22,referral,organic,ATL,sam,open,0,0
LEAD_000070,2026-03-17 05:23:26,2026-03-17 06:49:26,86,website_form,spring_promo,Cumming,sam,open,0,0
LEAD_000071,2026-02-19 11:13:16,2026-02-19 12:05:16,52,event,partner,ATL,jordan,converted,1,3663
LEAD_000072,2025-12-12 15:27:27,2025-12-12 15:38:27,11,referral,paid_search,ATL,sam,converted,1,1904
LEAD_000073,2025-11-19 11:03:36,2025-11-19 11:56:36,53,email,organic,Remote,alex,lost,0,0
LEAD_000074,2026-02-24 15:41:06,2026-02-24 15:53:06,12,instagram_dm,spring_promo,ATL,jordan,nurture,0,0
LEAD_000075,2026-02-11 14:54:19,2026-02-11 15:38:19,44,instagram_dm,spring_promo,ATL,sam,open,0,0
LEAD_000076,2026-02-14 06:41:49,2026-02-14 06:56:49,15,referral,organic,Cumming,sam,converted,1,3012
LEAD_000077,2026-02-19 08:24:53,2026-02-19 08:35:53,11,email,organic,Remote,alex,nurture,0,0
LEAD_000078,2025-11-27 16:24:17,2025-11-27 18:00:17,96,referral,organic,Cumming,taylor,lost,0,0
LEAD_000079,2025-12-31 19:32:15,2025-12-31 19:57:15,25,email,partner,Alpharetta,jordan,open,0,0
LEAD_000080,2025-12-02 16:51:33,2025-12-02 17:42:33,51,event,newsletter,Remote,taylor,nurture,0,0
LEAD_000081,2026-03-02 08:53:39,2026-03-02 09:27:39,34,email,paid_search,ATL,sam,lost,0,0
LEAD_000082,2026-02-01 14:15:17,2026-02-01 14:28:17,13,email,newsletter,Cumming,taylor,open,0,0
LEAD_000083,2025-12-28 12:08:33,2025-12-28 12:35:33,27,referral,organic,Cumming,taylor,nurture,0,0
LEAD_000084,2025-11-26 10:12:15,2025-11-26 10:25:15,13,referral,paid_search,Alpharetta,jordan,open,0,0
LEAD_000085,2025-12-26 02:47:07,2025-12-26 05:09:07,142,email,organic,ATL,taylor,nurture,0,0
LEAD_000086,2025-12-27 19:41:03,2025-12-27 20:38:03,57,website_form,paid_search,ATL,sam,lost,0,0
LEAD_000087,2026-02-14 08:25:19,2026-02-14 08:58:19,33,email,organic,Alpharetta,sam,open,0,0
LEAD_000088,2026-02-03 07:19:18,2026-02-03 08:08:18,49,event,spring_promo,Cumming,alex,lost,0,0
LEAD_000089,2026-03-05 06:19:44,2026-03-05 07:14:44,55,referral,paid_search,Cumming,jordan,lost,0,0
LEAD_000090,2026-01-14 11:08:07,2026-01-14 12:03:07,55,referral,newsletter,Cumming,jordan,open,0,0
LEAD_000091,2025-12-03 03:35:15,2025-12-03 04:28:15,53,website_form,paid_search,ATL,taylor,nurture,0,0
LEAD_000092,2026-02-12 09:18:04,2026-02-12 10:09:04,51,email,partner,Cumming,alex,open,0,0
LEAD_000093,2026-02-18 02:13:02,2026-02-18 02:49:02,36,instagram_dm,spring_promo,Cumming,sam,lost,0,0
LEAD_000094,2026-01-25 03:38:04,2026-01-25 05:09:04,91,referral,organic,Remote,alex,nurture,0,0
LEAD_000095,2026-02-19 07:32:30,2026-02-19 08:09:30,37,website_form,organic,ATL,jordan,nurture,0,0
LEAD_000096,2026-01-17 01:17:15,2026-01-17 01:51:15,34,referral,newsletter,Remote,alex,nurture,0,0
LEAD_000097,2026-01-20 12:37:36,2026-01-20 13:15:36,38,email,paid_search,Alpharetta,taylor,nurture,0,0
LEAD_000098,2026-01-09 02:28:28,2026-01-09 03:08:28,40,website_form,organic,ATL,alex,converted,1,3702
LEAD_000099,2025-11-21 20:21:48,2025-11-21 20:27:48,6,website_form,newsletter,Alpharetta,sam,lost,0,0
LEAD_000100,2025-12-01 17:53:01,2025-12-01 18:09:01,16,website_form,newsletter,ATL,taylor,converted,1,2217
LEAD_000101,2025-11-22 13:40:20,2025-11-22 14:10:20,30,email,spring_promo,Remote,sam,nurture,0,0
LEAD_000102,2026-02-03 04:01:05,2026-02-03 04:07:05,6,website_form,paid_search,Remote,alex,converted,1,840
LEAD_000103,2025-12-26 12:30:05,2025-12-26 13:03:05,33,website_form,newsletter,ATL,sam,converted,1,2343
LEAD_000104,2026-01-18 19:50:23,2026-01-18 20:29:23,39,referral,partner,ATL,alex,converted,1,4435
LEAD_000105,2026-03-07 16:56:52,2026-03-07 17:06:52,10,website_form,organic,Cumming,taylor,lost,0,0
LEAD_000106,2025-12-18 17:07:04,2025-12-18 17:26:04,19,website_form,spring_promo,Cumming,jordan,nurture,0,0
LEAD_000107,2026-01-07 01:03:32,2026-01-07 02:21:32,78,email,organic,Cumming,sam,open,0,0
LEAD_000108,2026-02-17 11:08:37,2026-02-17 11:57:37,49,email,spring_promo,ATL,jordan,lost,0,0
LEAD_000109,2025-12-16 06:05:42,2025-12-16 06:52:42,47,referral,partner,Alpharetta,alex,converted,1,2011
LEAD_000110,2025-11-28 00:51:30,2025-11-28 02:03:30,72,email,spring_promo,ATL,taylor,nurture,0,0
LEAD_000111,2025-12-23 13:38:25,2025-12-23 13:54:25,16,referral,paid_search,Alpharetta,taylor,nurture,0,0
LEAD_000112,2025-12-08 03:28:25,2025-12-08 03:38:25,10,instagram_dm,organic,Alpharetta,taylor,lost,0,0
LEAD_000113,2026-03-10 08:41:08,2026-03-10 09:46:08,65,website_form,organic,Cumming,sam,open,0,0
LEAD_000114,2026-02-23 18:32:34,2026-02-23 19:03:34,31,website_form,spring_promo,Remote,sam,nurture,0,0
LEAD_000115,2026-02-02 19:21:32,2026-02-02 19:37:32,16,email,newsletter,ATL,alex,open,0,0
LEAD_000116,2026-03-03 08:57:46,2026-03-03 09:03:46,6,email,newsletter,ATL,jordan,nurture,0,0
LEAD_000117,2026-02-23 05:43:54,2026-02-23 06:21:54,38,instagram_dm,organic,Alpharetta,jordan,lost,0,0
LEAD_000118,2025-12-11 04:28:41,2025-12-11 04:56:41,28,email,partner,Cumming,sam,lost,0,0
LEAD_000119,2026-03-05 21:43:34,2026-03-05 22:07:34,24,email,organic,Cumming,taylor,nurture,0,0
LEAD_000120,2026-01-22 12:27:43,2026-01-22 12:29:43,2,website_form,organic,Remote,alex,lost,0,0
LEAD_000121,2026-02-23 16:35:02,2026-02-23 18:05:02,90,website_form,organic,Remote,alex,lost,0,0
LEAD_000122,2026-03-06 07:53:57,2026-03-06 08:01:57,8,email,spring_promo,Alpharetta,alex,nurture,0,0
LEAD_000123,2025-12-26 23:00:22,2025-12-26 23:26:22,26,email,partner,Alpharetta,alex,open,0,0
LEAD_000124,2025-12-02 00:06:21,2025-12-02 00:29:21,23,email,organic,ATL,alex,converted,1,2729
LEAD_000125,2025-12-16 03:36:34,2025-12-16 04:26:34,50,website_form,spring_promo,ATL,jordan,nurture,0,0
LEAD_000126,2026-01-09 01:13:36,2026-01-09 01:19:36,6,instagram_dm,organic,Alpharetta,sam,lost,0,0
LEAD_000127,2026-02-24 23:02:19,2026-02-24 23:48:19,46,referral,newsletter,Cumming,alex,lost,0,0
LEAD_000128,2026-03-02 02:03:37,2026-03-02 02:41:37,38,website_form,organic,Cumming,taylor,nurture,0,0
LEAD_000129,2025-11-19 15:10:42,2025-11-19 15:28:42,18,email,newsletter,ATL,alex,lost,0,0
LEAD_000130,2026-01-19 02:06:30,2026-01-19 02:51:30,45,event,spring_promo,Alpharetta,jordan,open,0,0
LEAD_000131,2026-01-07 21:18:00,2026-01-07 21:51:00,33,website_form,organic,ATL,sam,converted,1,1250
LEAD_000132,2025-12-15 10:49:36,2025-12-15 12:33:36,104,email,paid_search,Alpharetta,jordan,open,0,0
LEAD_000133,2025-12-03 04:22:06,2025-12-03 04:50:06,28,website_form,spring_promo,ATL,taylor,lost,0,0
LEAD_000134,2025-12-29 07:29:16,2025-12-29 07:43:16,14,instagram_dm,paid_search,ATL,alex,converted,1,739
LEAD_000135,2026-03-11 22:44:10,2026-03-11 23:31:10,47,website_form,spring_promo,ATL,jordan,open,0,0
LEAD_000136,2025-12-27 13:58:50,2025-12-27 14:23:50,25,event,paid_search,ATL,taylor,converted,1,1929
LEAD_000137,2026-01-20 01:16:23,2026-01-20 01:49:23,33,instagram_dm,organic,Remote,jordan,open,0,0
LEAD_000138,2026-02-11 03:51:03,2026-02-11 04:01:03,10,referral,newsletter,ATL,sam,converted,1,2179
LEAD_000139,2026-01-01 10:24:34,2026-01-01 11:15:34,51,instagram_dm,spring_promo,ATL,sam,nurture,0,0
LEAD_000140,2026-03-15 09:53:19,2026-03-15 10:15:19,22,email,spring_promo,Cumming,jordan,nurture,0,0
LEAD_000141,2026-03-14 07:00:16,2026-03-14 07:40:16,40,email,spring_promo,Cumming,taylor,nurture,0,0
LEAD_000142,2025-12-19 00:17:21,2025-12-19 02:19:21,122,referral,spring_promo,ATL,alex,open,0,0
LEAD_000143,2026-01-17 11:13:55,2026-01-17 11:40:55,27,event,organic,ATL,alex,converted,1,3953
LEAD_000144,2025-12-24 21:41:09,2025-12-24 22:37:09,56,email,organic,Remote,sam,lost,0,0
LEAD_000145,2025-12-22 23:29:49,2025-12-22 23:57:49,28,event,newsletter,Alpharetta,alex,lost,0,0
LEAD_000146,2025-11-23 05:23:26,2025-11-23 05:42:26,19,email,paid_search,Cumming,sam,open,0,0
LEAD_000147,2026-01-30 22:42:05,2026-01-31 00:02:05,80,email,newsletter,Cumming,alex,nurture,0,0
LEAD_000148,2026-01-18 02:52:18,2026-01-18 02:56:18,4,email,newsletter,ATL,alex,converted,1,2264
LEAD_000149,2025-11-24 23:24:54,2025-11-25 00:30:54,66,website_form,organic,ATL,alex,nurture,0,0
LEAD_000150,2025-12-22 05:39:29,2025-12-22 05:42:29,3,website_form,organic,Alpharetta,taylor,nurture,0,0
LEAD_000151,2026-03-07 18:57:43,2026-03-07 19:59:43,62,website_form,organic,Remote,alex,open,0,0
LEAD_000152,2025-12-17 13:05:40,2025-12-17 13:38:40,33,email,paid_search,ATL,alex,nurture,0,0
LEAD_000153,2025-12-06 04:27:12,2025-12-06 04:41:12,14,email,spring_promo,Alpharetta,alex,open,0,0
LEAD_000154,2026-01-16 12:46:49,2026-01-16 13:09:49,23,email,spring_promo,ATL,taylor,open,0,0
LEAD_000155,2026-03-17 01:49:46,2026-03-17 02:43:46,54,event,newsletter,ATL,taylor,nurture,0,0
LEAD_000156,2025-12-17 20:16:31,2025-12-17 22:10:31,114,email,spring_promo,ATL,taylor,nurture,0,0
LEAD_000157,2026-02-07 10:54:24,2026-02-07 11:01:24,7,email,paid_search,ATL,alex,nurture,0,0
LEAD_000158,2026-02-18 04:37:14,2026-02-18 04:52:14,15,website_form,paid_search,Remote,taylor,lost,0,0
LEAD_000159,2025-12-17 07:33:08,2025-12-17 07:42:08,9,website_form,spring_promo,Cumming,sam,open,0,0
LEAD_000160,2026-02-14 04:25:09,2026-02-14 04:53:09,28,referral,spring_promo,ATL,sam,converted,1,3779
LEAD_000161,2026-01-01 22:22:18,2026-01-01 23:25:18,63,email,organic,Remote,jordan,lost,0,0
LEAD_000162,2026-02-02 16:11:49,2026-02-02 16:19:49,8,referral,newsletter,Remote,taylor,open,0,0
LEAD_000163,2026-02-02 19:43:18,2026-02-02 20:16:18,33,website_form,organic,Alpharetta,taylor,nurture,0,0
LEAD_000164,2026-01-22 02:11:14,2026-01-22 03:12:14,61,email,newsletter,Remote,taylor,lost,0,0
LEAD_000165,2025-11-29 15:11:27,2025-11-29 15:34:27,23,website_form,newsletter,ATL,taylor,converted,1,1617
LEAD_000166,2026-02-27 00:49:39,2026-02-27 01:27:39,38,website_form,organic,Alpharetta,alex,nurture,0,0
LEAD_000167,2025-12-27 07:00:10,2025-12-27 08:16:10,76,website_form,spring_promo,Alpharetta,sam,nurture,0,0
LEAD_000168,2025-12-11 04:19:46,2025-12-11 04:31:46,12,website_form,paid_search,Remote,alex,converted,1,823
LEAD_000169,2025-11-23 16:35:19,2025-11-23 16:40:19,5,website_form,spring_promo,Alpharetta,taylor,nurture,0,0
LEAD_000170,2026-01-28 16:55:40,2026-01-28 17:37:40,42,website_form,paid_search,ATL,alex,lost,0,0
LEAD_000171,2026-02-08 02:32:30,2026-02-08 03:15:30,43,event,organic,Alpharetta,taylor,nurture,0,0
LEAD_000172,2025-11-20 18:55:45,2025-11-20 19:17:45,22,website_form,newsletter,ATL,sam,lost,0,0
LEAD_000173,2026-01-19 05:59:03,2026-01-19 06:17:03,18,website_form,paid_search,ATL,sam,converted,1,2820
LEAD_000174,2025-12-15 23:27:51,2025-12-16 00:01:51,34,website_form,paid_search,ATL,alex,lost,0,0
LEAD_000175,2026-02-04 05:15:14,2026-02-04 05:27:14,12,email,organic,Remote,sam,nurture,0,0
LEAD_000176,2025-12-09 17:19:53,2025-12-09 17:31:53,12,website_form,spring_promo,ATL,taylor,converted,1,4702
LEAD_000177,2026-02-09 17:03:25,2026-02-09 17:57:25,54,referral,paid_search,Cumming,alex,nurture,0,0
LEAD_000178,2026-01-04 04:57:14,2026-01-04 05:08:14,11,event,organic,Cumming,sam,open,0,0
LEAD_000179,2026-03-11 04:56:19,2026-03-11 05:01:19,5,website_form,spring_promo,Remote,alex,converted,1,1477
LEAD_000180,2025-12-05 07:12:59,2025-12-05 07:30:59,18,email,partner,ATL,sam,open,0,0
LEAD_000181,2025-12-29 17:25:38,2025-12-29 17:47:38,22,website_form,spring_promo,Alpharetta,alex,nurture,0,0
LEAD_000182,2025-12-02 09:57:36,2025-12-02 10:43:36,46,instagram_dm,spring_promo,Remote,sam,lost,0,0
LEAD_000183,2026-03-09 18:16:26,2026-03-09 18:36:26,20,email,spring_promo,Cumming,taylor,nurture,0,0
LEAD_000184,2026-03-04 01:53:37,2026-03-04 03:18:37,85,website_form,newsletter,Cumming,sam,lost,0,0
LEAD_000185,2025-12-19 18:01:41,2025-12-19 18:36:41,35,website_form,newsletter,Alpharetta,sam,converted,1,3065
LEAD_000186,2026-02-05 23:54:37,2026-02-06 00:10:37,16,instagram_dm,organic,Remote,jordan,open,0,0
LEAD_000187,2026-02-24 20:45:22,2026-02-24 21:30:22,45,email,organic,Alpharetta,alex,nurture,0,0
LEAD_000188,2026-01-24 10:08:04,2026-01-24 11:32:04,84,website_form,organic,ATL,sam,nurture,0,0
LEAD_000189,2026-01-21 08:33:00,2026-01-21 09:26:00,53,instagram_dm,newsletter,Remote,jordan,converted,1,3131
LEAD_000190,2025-12-17 19:41:27,2025-12-17 19:48:27,7,email,spring_promo,Cumming,alex,nurture,0,0
LEAD_000191,2025-11-29 23:17:32,2025-11-29 23:41:32,24,referral,partner,Cumming,jordan,lost,0,0
LEAD_000192,2026-03-06 11:08:15,2026-03-06 11:48:15,40,website_form,spring_promo,Alpharetta,sam,converted,1,745
